Name;Sector;Lat;Long;PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year)
HOLCIM BRASIL S.A. - CONCRETO - SÃO VICENTE -SP;Portland cement;-23.959126;-46.423138;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CIMENTO – VITÓRIA -ES;Portland cement;-20.242077;-40.238906;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - AGREGADOS – SOROCABA -SP;Portland cement;-23.484882;-47.468896;0.063142857;72.46942857;36.26628571
HOLCIM BRASIL S.A. - CIMENTO – SOROCABA -SP;Portland cement;-23.475375;-47.486575;0.063142857;72.46942857;36.26628571
CIPLAN CIMENTO 01 -SP ;Portland cement;-21.180156;-47.846477;0.034;39.022;19.528
CIPLAN CIMENTO 02 -MG;Portland cement;-19.727424;-47.957490;0.034;39.022;19.528
CIPLAN CIMENTO 03 -MG;Portland cement;-18.862349;-48.283316;0.034;39.022;19.528
CIPLAN CIMENTO 04 -SP;Portland cement;-16.402601;-48.934383;0.034;39.022;19.528
CIPLAN CIMENTO 04 -GO;Portland cement;-17.740948;-48.637597;0.034;39.022;19.528
CIPLAN CIMENTO 05 -GO;Portland cement;-16.708853;-49.205520;0.034;39.022;19.528
CIPLAN CIMENTO 06 -GO;Portland cement;-16.064671;-47.965549;0.034;39.022;19.528
CIPLAN CIMENTO 07 -MT;Portland cement;-15.654575;-55.992037;0.034;39.022;19.528
CIPLAN CIMENTO 08 -TO;Portland cement;-10.251419;-48.316118;0.034;39.022;19.528
CIPLAN CIMENTO 09 -MA;Portland cement;-2.577543;-44.184681;0.034;39.022;19.528
CIPLAN CIMENTO 10 -CE;Portland cement;-3.821836;-38.534104;0.034;39.022;19.528
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 01 - SP;Portland cement;-24.520263;-48.857340;0.549666667;630.8556667;315.7026667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 02 - MS;Portland cement;-20.539534;-56.712387;0.549666667;630.8556667;315.7026667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 03 - MG;Portland cement;-19.646808;-44.039242;0.549666667;630.8556667;315.7026667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 04 - MG;Portland cement;-19.473333;-42.510661;0.549666667;630.8556667;315.7026667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 05 -SP;Portland cement;-23.287650;-45.981025;0.549666667;630.8556667;315.7026667
INTERCEMENT - (CAUÊ) GRUPO CAMARGO CORRÊA 06 -MG;Portland cement;-21.194456;-44.937726;0.549666667;630.8556667;315.7026667
CELULOSE IRANI S.A. – 7 -SC;Paper and cellulose;-26.241080;-49.480054;0.008026083;0.898921333;0.453473708
CELULOSE IRANI S.A. – 8 - SC;Paper and cellulose;-26.872293;-51.793133;0.008026083;0.898921333;0.453473708
CELULOSE IRANI S.A. – 11 - RS;Paper and cellulose;-30.200620;-50.343635;0.008026083;0.898921333;0.453473708
FIBRIA – 2 – ES;Paper and cellulose;-19.844403;-40.268891;0.1439625;16.1238;8.13388125
FIBRIA – 3 – SP;Paper and cellulose;-23.371182;-46.026798;0.1439625;16.1238;8.13388125
FIBRIA – 4 – MS;Paper and cellulose;-20.997040;-51.795191;0.1439625;16.1238;8.13388125
FIBRIA - 5 – SP;Paper and cellulose;-24.005014;-48.326613;0.1439625;16.1238;8.13388125
FIBRIA – 6 – RS;Paper and cellulose;-31.771171;-52.458412;0.1439625;16.1238;8.13388125
FIBRIA – 7 – ES;Paper and cellulose;-18.522464;-39.759109;0.1439625;16.1238;8.13388125
FIBRIA – 8 -BA;Paper and cellulose;-17.887091;-39.840772;0.1439625;16.1238;8.13388125
FIBRIA – 9 – MS;Paper and cellulose;-20.897987;-51.757535;0.1439625;16.1238;8.13388125
INTERNATIONAL PAPER – 2 - SP;Paper and cellulose;-22.133874;-47.002021;0.067551667;7.565786667;3.816669167
INTERNATIONAL PAPER – 3 - SP;Paper and cellulose;-21.485416;-47.766701;0.067551667;7.565786667;3.816669167
INTERNATIONAL PAPER – 4 - MS;Paper and cellulose;-20.761102;-51.726300;0.067551667;7.565786667;3.816669167
JARI CELULOSE - PA;Paper and cellulose;-0.924500;-52.432458;0.0975865;10.929688;5.51363725
KLABIN 2 - SP;Paper and cellulose;-22.685867;-47.675489;0.022010206;2.465143059;1.243576632
KLABIN 3 - SP;Paper and cellulose;-23.482352;-48.408956;0.022010206;2.465143059;1.243576632
KLABIN 4 - MG;Paper and cellulose;-19.994185;-44.192549;0.022010206;2.465143059;1.243576632
