Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year)
COLOMBO ARIRANHA;Bagasse TPP;-21.213352;-48.842033;0.1701504;0.2187648;0.1944576
CORONA;Bagasse TPP;-21.364469;-48.238975;0.0290304;0.0373248;0.0331776
ESTER;Bagasse TPP;-22.657480;-47.211152;0.07483392;0.09621504;0.08552448
CENTRAL ENERGÉTICA RIBEIRÃO PRETO (ANTIGA GALO BRAVO);Bagasse TPP;-21.141021;-47.878869;0.0145152;0.0186624;0.0165888
GALVANI;Bagasse TPP;-22.758781;-47.155066;0.0185472;0.0238464;0.0211968
IRACEMA;Bagasse TPP;-22.586025;-47.529168;0.0225792;0.0290304;0.0258048
VIRGOLINO DE OLIVEIRA - ITAPIRA;Bagasse TPP;-22.411839;-46.808829;0.00935424;0.01202688;0.01069056
JARDEST;Bagasse TPP;-21.032484;-47.775844;0.0129024;0.0165888;0.0147456
JUNQUEIRA;Bagasse TPP;-20.048841;-47.748235;0.01161216;0.01492992;0.01327104
MARACAÍ;Bagasse TPP;-22.575942;-50.656559;0.075511296;0.097085952;0.086298624
MB;Bagasse TPP;-20.729511;-48.055077;0.02644992;0.03400704;0.03022848
NARDINI;Bagasse TPP;-21.184680;-48.654292;0.0870912;0.1119744;0.0995328
SANTA CRUZ AB (ANTIGA OMETTO);Bagasse TPP;-21.754836;-48.078402;0.13934592;0.17915904;0.15925248
USINA DA PEDRA;Bagasse TPP;-21.241122;-47.566889;0.056448;0.072576;0.064512
RAFARD;Bagasse TPP;-23.009110;-47.532166;0.08064;0.10368;0.09216
UNIVALEM;Bagasse TPP;-23.009110;-47.532166;0.0129024;0.0165888;0.0147456
PUMATY;Bagasse TPP;-8.627504;-35.528606;0.012966912;0.016671744;0.014819328
VALE DO ROSÁRIO;Bagasse TPP;-20.740942;-48.055163;0.1564416;0.2011392;0.1787904
VIRALCOOL;Bagasse TPP;-21.049411;-48.262212;0.032256;0.041472;0.036864
SÃO JOÃO;Bagasse TPP;-22.428728;-47.359755;0.0193536;0.0248832;0.0221184
SÃO JOSÉ;Bagasse TPP;-22.491557;-48.782191;0.136773504;0.175851648;0.156312576
SÃO JOSÉ;Bagasse TPP;-22.860862;-47.624307;0.00774144;0.00995328;0.00884736
SÃO LUIZ;Bagasse TPP;-22.026160;-47.429182;0.11354112;0.14598144;0.12976128
SÃO MARTINHO;Bagasse TPP;-21.320081;-48.120490;0.1177344;0.1513728;0.1345536
BARRA GRANDE DE LENÇÓIS;Bagasse TPP;-22.627929;-48.752271;0.10144512;0.13042944;0.11593728
LDC BIOENERGIA LEME (ANTIGA COINBRA - CRESCIUMAL);Bagasse TPP;-22.205258;-47.386937;0.06386688;0.08211456;0.07299072
J PILON;Bagasse TPP;-23.171224;-47.746025;0.00612864;0.00787968;0.00700416
SÃO FRANCISCO;Bagasse TPP;-21.108655;-48.078612;0.04064256;0.05225472;0.04644864
LUCÉLIA;Bagasse TPP;-21.724491;-51.021143;0.02532096;0.03255552;0.02893824
BORTOLO CAROLO;Bagasse TPP;-21.009087;-47.993845;0.0129024;0.0165888;0.0147456
FURLAN;Bagasse TPP;-22.763612;-47.411725;0.00580608;0.00746496;0.00663552
SANTA ADÉLIA;Bagasse TPP;-21.252346;-48.325677;0.0677376;0.0870912;0.0774144
RUETTE;Bagasse TPP;-21.044503;-48.720099;0.0451584;0.0580608;0.0516096
IPIRANGA FILIAL DESCALVADO;Bagasse TPP;-21.910594;-47.617150;0.00487872;0.00627264;0.00557568
IPIRANGA - MOCOCA;Bagasse TPP;-21.467198;-47.002057;0.00677376;0.00870912;0.00774144
SÃO MANOEL;Bagasse TPP;-22.742186;-48.570088;0.02386944;0.03068928;0.02727936
ALBERTINA;Bagasse TPP;-21.147299;-47.989209;0.0068544;0.0088128;0.0078336
SANTA ELISA - UNIDADE II;Bagasse TPP;-21.151098;-48.007881;0.0064512;0.0082944;0.0073728
PAINEIRAS;Bagasse TPP;-21.011633;-40.830280;0.00516096;0.00663552;0.00589824
SÃO JOÃO DA BOA VISTA;Bagasse TPP;-21.974787;-46.793732;0.112896;0.145152;0.129024
UNIALCO;Bagasse TPP;-21.264410;-50.636443;0.00580608;0.00746496;0.00663552
SANTA CÂNDIDA;Bagasse TPP;-22.154430;-48.519573;0.0467712;0.0601344;0.0534528
IBITIÚVA BIOENERGÉTICA (ANTIGA DESTILARIA ANDRADE);Bagasse TPP;-21.051442;-48.264082;0.0532224;0.0684288;0.0608256
MANDU;Bagasse TPP;-20.324892;-48.283319;0.145152;0.186624;0.165888
GUARANI - CRUZ ALTA;Bagasse TPP;-20.744737;-48.909426;0.10450944;0.13436928;0.11943936
SÃO JOSÉ DA ESTIVA;Bagasse TPP;-21.486870;-49.185911;0.068544;0.088128;0.078336
PANTANAL;Bagasse TPP;-15.934350;-54.962518;0.008064;0.010368;0.009216
JACIARA;Bagasse TPP;-15.976043;-54.950845;0.00451584;0.00580608;0.00516096
BAZAN;Bagasse TPP;-21.007754;-48.035624;0.01645056;0.02115072;0.01880064
SÃO DOMINGOS;Bagasse TPP;-21.102280;-48.926866;0.0193536;0.0248832;0.0221184
MOEMA;Bagasse TPP;-20.254304;-49.292440;0.0387072;0.0497664;0.0442368
DIANA;Bagasse TPP;-21.474105;-49.934966;0.004633574;0.005957453;0.005295514
ÁGUA BONITA;Bagasse TPP;-22.736898;-50.580984;0.0274176;0.0352512;0.0313344
DESTILARIA GUARICANGA;Bagasse TPP;-22.106087;-49.435508;0.00258048;0.00331776;0.00294912
DESTILARIA MALOSSO;Bagasse TPP;-21.565808;-48.814681;0.0064512;0.0082944;0.0073728
CORACI;Bagasse TPP;-22.739705;-49.732398;0.002232115;0.002869862;0.002550989
TROMBINI;Bagasse TPP;-27.038020;-50.909358;0.007854336;0.010098432;0.008976384
BENÁLCOOL;Bagasse TPP;-21.276938;-50.819852;0.00677376;0.00870912;0.00774144
SANTA LÚCIA;Bagasse TPP;-22.394696;-47.389969;0.00709632;0.00912384;0.00811008
ALCIDIA;Bagasse TPP;-22.538851;-52.190831;0.06144768;0.07900416;0.07022592
BELLÃO & SCHIAVON;Bagasse TPP;-21.812253;-47.235488;0.00104832;0.00134784;0.00119808
PARAÍSO;Bagasse TPP;-22.265142;-48.154094;0.01241856;0.01596672;0.01419264
BELA VISTA;Bagasse TPP;-21.028625;-48.053734;0.01580544;0.02032128;0.01806336
ITAIQUARA;Bagasse TPP;-21.455312;-46.750967;0.00516096;0.00663552;0.00589824
ÁGUA LIMPA;Bagasse TPP;-20.780958;-49.728315;0.004451328;0.005723136;0.005087232
SANTA ROSA;Bagasse TPP;-23.259627;-47.639170;0.004451328;0.005723136;0.005087232
SANTA FÉ;Bagasse TPP;-21.768898;-48.557412;0.01032192;0.01327104;0.01179648
LWARCEL;Bagasse TPP;-22.546772;-48.814894;0.0064512;0.0082944;0.0073728
SANTO ANTÔNIO;Bagasse TPP;-22.659797;-47.643290;0.001870848;0.002405376;0.002138112
FLORAPLAC;Bagasse TPP;-2.963406;-47.375360;0.002016;0.002592;0.002304
