Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
FERNANDO GASPARIAN (ANTIGA NOVA PIRATININGA);Natural gas TPP;-23.546678;-46.644394;0.165720979;1.454286144;0.810003562;0.003043855;0.003043855;0.003043855;0.121754189;0.50730912;0.314531654;0.04058473;0.04058473;0.04058473;0.057495034;0.057495034;0.057495034;616.8878899;616.8878899;616.8878899
PONTA DO COSTA;Natural gas TPP;-22.797070;-42.013650;0.00171696;0.0150672;0.00839208;0.000031536;0.000031536;0.000031536;0.00126144;0.005256;0.00325872;0.00042048;0.00042048;0.00042048;0.00059568;0.00059568;0.00059568;6.391296;6.391296;6.391296
RÔMULO ALMEIDA UNIDADE I (ANTIGA USINA DE COGERAÇÃO CAMAÇARI - FAFEN ENERGIA);Natural gas TPP;-12.695511;-38.309967;0.059243705;0.519893736;0.28956872;0.00108815;0.00108815;0.00108815;0.043525987;0.18135828;0.112442134;0.014508662;0.014508662;0.014508662;0.020553938;0.020553938;0.020553938;220.5316685;220.5316685;220.5316685
JESUS SOARES PEREIRA ;Natural gas TPP;-5.292244;-36.755156;0.138630355;1.216552096;0.677591225;0.002546272;0.002546272;0.002546272;0.101850873;0.424378638;0.263114756;0.033950291;0.033950291;0.033950291;0.048096246;0.048096246;0.048096246;516.0444238;516.0444238;516.0444238
CINAL/TRIKEM;Natural gas TPP;-9.716004;-35.895135;0.001368203;0.012006675;0.006687439;2.51303E-05;2.51303E-05;2.51303E-05;0.00100521;0.004188375;0.002596793;0.00033507;0.00033507;0.00033507;0.000474683;0.000474683;0.000474683;5.093064;5.093064;5.093064
CARIOCA SHOPPING;Natural gas TPP;-23.011379;-43.505355;0.001373568;0.01205376;0.006713664;2.52288E-05;2.52288E-05;2.52288E-05;0.001009152;0.0042048;0.002606976;0.000336384;0.000336384;0.000336384;0.000476544;0.000476544;0.000476544;5.1130368;5.1130368;5.1130368
METALURGIA CARAÍBA;Natural gas TPP;-12.617585;-38.295373;0.00772632;0.0678024;0.03776436;0.000141912;0.000141912;0.000141912;0.00567648;0.023652;0.01466424;0.00189216;0.00189216;0.00189216;0.00268056;0.00268056;0.00268056;28.760832;28.760832;28.760832
MACAÍBA (ANTIGA TERMO TOALIA);Natural gas TPP;-5.848229;-35.353888;0.002438083;0.021395424;0.011916754;4.47811E-05;4.47811E-05;4.47811E-05;0.001791245;0.00746352;0.004627382;0.000597082;0.000597082;0.000597082;0.000845866;0.000845866;0.000845866;9.07564032;9.07564032;9.07564032
TERMOCABO;Natural gas TPP;-8.287038;-35.027005;0.02124738;0.1864566;0.10385199;0.000390258;0.000390258;0.000390258;0.01561032;0.065043;0.04032666;0.00520344;0.00520344;0.00520344;0.00737154;0.00737154;0.00737154;79.092288;79.092288;79.092288
IGW/SERVICE ENERGY;Natural gas TPP;-23.499105;-46.629643;0.001212603;0.01064121;0.005926907;2.22723E-05;2.22723E-05;2.22723E-05;0.000890892;0.00371205;0.002301471;0.000296964;0.000296964;0.000296964;0.000420699;0.000420699;0.000420699;4.5138528;4.5138528;4.5138528
STEPIE ULB;Natural gas TPP;-29.900996;-51.191879;0.001416492;0.01243044;0.006923466;2.60172E-05;2.60172E-05;2.60172E-05;0.001040688;0.0043362;0.002688444;0.000346896;0.000346896;0.000346896;0.000491436;0.000491436;0.000491436;5.2728192;5.2728192;5.2728192
FORTALEZA;Natural gas TPP;-3.729310;-38.658845;0.148787461;1.305685884;0.727236673;0.002732831;0.002732831;0.002732831;0.109313237;0.45547182;0.282392528;0.036437746;0.036437746;0.036437746;0.05162014;0.05162014;0.05162014;553.8537331;553.8537331;553.8537331
TERMOCEARÁ;Natural gas TPP;-3.718276;-38.660809;0.094036611;0.825219244;0.459627928;0.001727203;0.001727203;0.001727203;0.069088123;0.287867178;0.17847765;0.023029374;0.023029374;0.023029374;0.032624947;0.032624947;0.032624947;350.0464884;350.0464884;350.0464884
INAPEL;Natural gas TPP;-23.434212;-46.552920;0.000516805;0.004535227;0.002526016;9.49234E-06;9.49234E-06;9.49234E-06;0.000379693;0.001582056;0.000980875;0.000126564;0.000126564;0.000126564;0.0001793;0.0001793;0.0001793;1.923780096;1.923780096;1.923780096
EUCATEX;Natural gas TPP;-23.200639;-47.296043;0.004206552;0.03691464;0.020560596;7.72632E-05;7.72632E-05;7.72632E-05;0.003090528;0.0128772;0.007983864;0.001030176;0.001030176;0.001030176;0.001459416;0.001459416;0.001459416;15.6586752;15.6586752;15.6586752
JACAREÍ;Natural gas TPP;-23.299812;-45.968806;0.00450702;0.0395514;0.02202921;0.000082782;0.000082782;0.000082782;0.00331128;0.013797;0.00855414;0.00110376;0.00110376;0.00110376;0.00156366;0.00156366;0.00156366;16.777152;16.777152;16.777152
VULCABRÁS;Natural gas TPP;-4.095220;-38.492557;0.002137615;0.018758664;0.01044814;3.92623E-05;3.92623E-05;3.92623E-05;0.001570493;0.00654372;0.004057106;0.000523498;0.000523498;0.000523498;0.000741622;0.000741622;0.000741622;7.95716352;7.95716352;7.95716352
CASA DE GERADORES DE ENERGIA ELÉTRICA F-242;Natural gas TPP;-23.239686;-45.889117;0.00386316;0.0339012;0.01888218;0.000070956;0.000070956;0.000070956;0.00283824;0.011826;0.00733212;0.00094608;0.00094608;0.00094608;0.00134028;0.00134028;0.00134028;14.380416;14.380416;14.380416
ATALAIA;Natural gas TPP;-10.923527;-37.063641;0.001974504;0.01732728;0.009650892;3.62664E-05;3.62664E-05;3.62664E-05;0.001450656;0.0060444;0.003747528;0.000483552;0.000483552;0.000483552;0.000685032;0.000685032;0.000685032;7.3499904;7.3499904;7.3499904
MILLENNIUM;Natural gas TPP;-12.697761;-38.299141;0.002052196;0.018009071;0.010030634;3.76934E-05;3.76934E-05;3.76934E-05;0.001507736;0.006282234;0.003894985;0.000502579;0.000502579;0.000502579;0.000711987;0.000711987;0.000711987;7.639196544;7.639196544;7.639196544
CONTAGEM;Natural gas TPP;-19.921321;-44.076537;0.008283903;0.072695473;0.040489688;0.000152153;0.000152153;0.000152153;0.006086133;0.025358886;0.015722509;0.002028711;0.002028711;0.002028711;0.002874007;0.002874007;0.002874007;30.83640538;30.83640538;30.83640538
CENPES - PETROBRÁS;Natural gas TPP;-22.993370;-43.337520;0.006895741;0.060513642;0.033704691;0.000126656;0.000126656;0.000126656;0.005066258;0.02110941;0.013087834;0.001688753;0.001688753;0.001688753;0.0023924;0.0023924;0.0023924;25.66904256;25.66904256;25.66904256
PARAIBUNA;Natural gas TPP;-21.778043;-43.338874;0.00085848;0.0075336;0.00419604;0.000015768;0.000015768;0.000015768;0.00063072;0.002628;0.00162936;0.00021024;0.00021024;0.00021024;0.00029784;0.00029784;0.00029784;3.195648;3.195648;3.195648
SOUZA CRUZ CACHOEIRINHA;Natural gas TPP;-29.927448;-51.089605;0.001267116;0.011119594;0.006193355;2.32736E-05;2.32736E-05;2.32736E-05;0.000930943;0.003878928;0.002404935;0.000310314;0.000310314;0.000310314;0.000439612;0.000439612;0.000439612;4.716776448;4.716776448;4.716776448
