Name;Sector;Lat;Long;NOx-low (Gg/year);NOx-high (Gg/year);NOx-mean (Gg/year);SOx-low(Gg/year);SOx-high(Gg/year);SOx-mean(Gg/year);CO-low(Gg/year);CO-high(Gg/year);CO-mean(Gg/year);PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year);TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year);CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
CHUPINGUAIA;Diesel TPP;-12.548982;-60.911644;0.13980522;0.69191736;0.41586129;0.074404812;0.233166672;0.153785742;0.062556912;0.15876186;0.110659386;0.007582656;0.020378388;0.013980522;1.95727E-11;0.020378388;0.010189194;12.1204017;33.43903904;22.77972037
CODAJÁS;Diesel TPP;-3.840531;-62.059850;0.1343784;0.6650592;0.3997188;0.07151664;0.22411584;0.14781624;0.06012864;0.1525992;0.10636392;0.00728832;0.01958736;0.01343784;1.8813E-11;0.01958736;0.00979368;11.649924;32.14103568;21.89547984
MANICORÉ;Diesel TPP;-5.813654;-61.282751;0.13205262;0.65354856;0.39280059;0.070278852;0.220236912;0.145257882;0.059087952;0.14995806;0.104523006;0.007162176;0.019248348;0.013205262;1.84874E-11;0.019248348;0.009624174;11.4482907;31.58474852;21.51651961
BENJAMIN CONSTANT;Diesel TPP;-4.382773;-70.018284;0.1317942;0.6522696;0.3920319;0.07014132;0.21980592;0.14497362;0.05897232;0.1496646;0.10431846;0.00714816;0.01921068;0.01317942;1.84512E-11;0.01921068;0.00960534;11.425887;31.52293884;21.47441292
APUÍ;Diesel TPP;-7.205666;-59.881458;0.12921;0.63948;0.384345;0.068766;0.215496;0.142131;0.057816;0.14673;0.102273;0.007008;0.018834;0.012921;1.80894E-11;0.018834;0.009417;11.20185;30.904842;21.053346
COSTA MARQUES;Diesel TPP;-12.441442;-64.223649;0.128848212;0.637689456;0.383268834;0.068573455;0.214892611;0.141733033;0.057654115;0.146319156;0.101986636;0.006988378;0.018781265;0.012884821;1.80387E-11;0.018781265;0.009390632;11.17048482;30.81830844;20.99439663
JBS ANDRADINA;Diesel TPP;-20.904327;-51.390530;0.12817632;0.63436416;0.38127024;0.068215872;0.213772032;0.140993952;0.057353472;0.14555616;0.101454816;0.006951936;0.018683328;0.012817632;1.79447E-11;0.018683328;0.009341664;11.1122352;30.65760326;20.88491923
ALBRÁS;Diesel TPP;-1.517284;-48.615369;0.12817632;0.63436416;0.38127024;0.068215872;0.213772032;0.140993952;0.057353472;0.14555616;0.101454816;0.006951936;0.018683328;0.012817632;1.79447E-11;0.018683328;0.009341664;11.1122352;30.65760326;20.88491923
FRANGO SERTANEJO;Diesel TPP;-20.797257;-49.226139;0.127762848;0.632317824;0.380040336;0.067995821;0.213082445;0.140539133;0.057168461;0.145086624;0.101127542;0.00692951;0.018623059;0.012776285;1.78868E-11;0.018623059;0.00931153;11.07638928;30.55870777;20.81754852
TERMOMECÂNICA SÃO PAULO;Diesel TPP;-23.654819;-46.572277;0.127246008;0.629759904;0.378502956;0.067720757;0.212220461;0.139970609;0.056937197;0.144499704;0.10071845;0.006901478;0.018547723;0.012724601;1.78144E-11;0.018547723;0.009273862;11.03158188;30.4350884;20.73333514
CAIMA;Diesel TPP;-4.255558;-55.998945;0.12714264;0.62924832;0.37819548;0.067665744;0.212048064;0.139856904;0.056890944;0.14438232;0.100636632;0.006895872;0.018532656;0.012714264;1.78E-11;0.018532656;0.009266328;11.0226204;30.41036453;20.71649246
