Name;Sector;Lat;Long;CO2-low(Gg/year);CO2-high(Gg/year);CO2-mean(Gg/year)
IPIRANGA FILIAL DESCALVADO;Bagasse TPP;-21.910594;-47.617150;6.255216;8.154432;7.204824
IPIRANGA - MOCOCA;Bagasse TPP;-21.467198;-47.002057;8.684928;11.321856;10.003392
SÃO MANOEL;Bagasse TPP;-22.742186;-48.570088;30.604032;39.896064;35.250048
ALBERTINA;Bagasse TPP;-21.147299;-47.989209;8.78832;11.45664;10.12248
SANTA ELISA - UNIDADE II;Bagasse TPP;-21.151098;-48.007881;8.27136;10.78272;9.52704
PAINEIRAS;Bagasse TPP;-21.011633;-40.830280;6.617088;8.626176;7.621632
SÃO JOÃO DA BOA VISTA;Bagasse TPP;-21.974787;-46.793732;144.7488;188.6976;166.7232
UNIALCO;Bagasse TPP;-21.264410;-50.636443;7.444224;9.704448;8.574336
SANTA CÂNDIDA;Bagasse TPP;-22.154430;-48.519573;59.96736;78.17472;69.07104
IBITIÚVA BIOENERGÉTICA (ANTIGA DESTILARIA ANDRADE);Bagasse TPP;-21.051442;-48.264082;68.23872;88.95744;78.59808
MANDU;Bagasse TPP;-20.324892;-48.283319;186.1056;242.6112;214.3584
GUARANI - CRUZ ALTA;Bagasse TPP;-20.744737;-48.909426;133.996032;174.680064;154.338048
SÃO JOSÉ DA ESTIVA;Bagasse TPP;-21.486870;-49.185911;87.8832;114.5664;101.2248
PANTANAL;Bagasse TPP;-15.934350;-54.962518;10.3392;13.4784;11.9088
JACIARA;Bagasse TPP;-15.976043;-54.950845;5.789952;7.547904;6.668928
BAZAN;Bagasse TPP;-21.007754;-48.035624;21.091968;27.495936;24.293952
SÃO DOMINGOS;Bagasse TPP;-21.102280;-48.926866;24.81408;32.34816;28.58112
MOEMA;Bagasse TPP;-20.254304;-49.292440;49.62816;64.69632;57.16224
DIANA;Bagasse TPP;-21.474105;-49.934966;5.94090432;7.74468864;6.84279648
ÁGUA BONITA;Bagasse TPP;-22.736898;-50.580984;35.15328;45.82656;40.48992
DESTILARIA GUARICANGA;Bagasse TPP;-22.106087;-49.435508;3.308544;4.313088;3.810816
DESTILARIA MALOSSO;Bagasse TPP;-21.565808;-48.814681;8.27136;10.78272;9.52704
CORACI;Bagasse TPP;-22.739705;-49.732398;2.86189056;3.73082112;3.29635584
TROMBINI;Bagasse TPP;-27.038020;-50.909358;10.0703808;13.1279616;11.5991712
BENÁLCOOL;Bagasse TPP;-21.276938;-50.819852;8.684928;11.321856;10.003392
SANTA LÚCIA;Bagasse TPP;-22.394696;-47.389969;9.098496;11.860992;10.479744
ALCIDIA;Bagasse TPP;-22.538851;-52.190831;78.784704;102.705408;90.745056
BELLÃO & SCHIAVON;Bagasse TPP;-21.812253;-47.235488;1.344096;1.752192;1.548144
PARAÍSO;Bagasse TPP;-22.265142;-48.154094;15.922368;20.756736;18.339552
BELA VISTA;Bagasse TPP;-21.028625;-48.053734;20.264832;26.417664;23.341248
ITAIQUARA;Bagasse TPP;-21.455312;-46.750967;6.617088;8.626176;7.621632
ÁGUA LIMPA;Bagasse TPP;-20.780958;-49.728315;5.7072384;7.4400768;6.5736576
SANTA ROSA;Bagasse TPP;-23.259627;-47.639170;5.7072384;7.4400768;6.5736576
SANTA FÉ;Bagasse TPP;-21.768898;-48.557412;13.234176;17.252352;15.243264
LWARCEL;Bagasse TPP;-22.546772;-48.814894;8.27136;10.78272;9.52704
SANTO ANTÔNIO;Bagasse TPP;-22.659797;-47.643290;2.3986944;3.1269888;2.7628416
FLORAPLAC;Bagasse TPP;-2.963406;-47.375360;2.5848;3.3696;2.9772
DELOS;Bagasse TPP;-21.161521;-47.988729;1.447488;1.886976;1.667232
DELLA COLETTA;Bagasse TPP;-22.081042;-48.719312;8.27136;10.78272;9.52704
BARRA;Bagasse TPP;-22.478612;-48.545333;32.671872;42.591744;37.631808
BRANCO PERES;Bagasse TPP;-21.688810;-51.046027;8.2300032;10.7288064;9.4794048
PEDERNEIRAS;Bagasse TPP;-23.122203;-47.718601;4.962816;6.469632;5.716224
GASA;Bagasse TPP;-20.931918;-51.379115;169.56288;221.04576;195.30432
URBANO JARAGUÁ;Bagasse TPP;-26.508364;-49.109841;6.20352;8.08704;7.14528
COCAL;Bagasse TPP;-22.393625;-50.591643;58.313088;76.018176;67.165632
DULCINI;Bagasse TPP;-22.602154;-46.935960;3.827985408;4.990242816;4.409114112
DACAL;Bagasse TPP;-21.787154;-50.810506;9.098496;11.860992;10.479744
GUARANI;Bagasse TPP;-20.821616;-48.821199;19.437696;25.339392;22.388544
URUBA;Bagasse TPP;-9.500704;-36.001414;20.6784;26.9568;23.8176
COOCAROL;Bagasse TPP;-23.404581;-52.752034;8.27136;10.78272;9.52704
CATANDUVA (ANTIGA CERRADINHO);Bagasse TPP;-21.135240;-48.976821;155.088;202.176;178.632
BOM RETIRO;Bagasse TPP;-22.978864;-47.506309;7.444224;9.704448;8.574336
DESTIL;Bagasse TPP;-21.256114;-49.139955;7.030656;9.165312;8.097984
FANY;Bagasse TPP;-22.198420;-51.291532;2.481408;3.234816;2.858112
