Name;Sector;Lat;Long;TOC-low(Gg/year);TOC-high(Gg/year);TOC-mean(Gg/year)
KLABIN 5 - SC;Paper and cellulose;-27.546573;-50.364285;0.325751047;0.325751047;0.325751047
KLABIN 6 - BA;Paper and cellulose;-12.293665;-38.965325;0.325751047;0.325751047;0.325751047
KLABIN 7 - PE;Paper and cellulose;-7.588721;-35.006407;0.325751047;0.325751047;0.325751047
KLABIN 8 - RJ;Paper and cellulose;-22.588770;-43.016729;0.325751047;0.325751047;0.325751047
KLABIN 9 - SC;Paper and cellulose;-26.894836;-48.710662;0.325751047;0.325751047;0.325751047
KLABIN 10 - SP;Paper and cellulose;-23.225062;-47.026950;0.325751047;0.325751047;0.325751047
KLABIN 11 - SP;Paper and cellulose;-23.172452;-46.929145;0.325751047;0.325751047;0.325751047
KLABIN 12 - SC;Paper and cellulose;-27.802817;-50.362837;0.325751047;0.325751047;0.325751047
KLABIN 13 - SC;Paper and cellulose;-27.751155;-50.337534;0.325751047;0.325751047;0.325751047
KLABIN 14 - PR;Paper and cellulose;-24.306558;-50.610461;0.325751047;0.325751047;0.325751047
KLABIN 15 - SC;Paper and cellulose;-27.512968;-50.116357;0.325751047;0.325751047;0.325751047
KLABIN 16 - SP;Paper and cellulose;-22.687395;-47.674515;0.325751047;0.325751047;0.325751047
KLABIN 17 - MG;Paper and cellulose;-20.421737;-42.899126;0.325751047;0.325751047;0.325751047
KLABIN 18 - RS;Paper and cellulose;-29.782408;-51.119724;0.325751047;0.325751047;0.325751047
LWARCEL - SP;Paper and cellulose;-22.570501;-48.776750;0.8251407;0.8251407;0.8251407
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.539539;-46.270172;0.24207435;0.24207435;0.24207435
MELHORAMENTOS PAPÉIS - SP;Paper and cellulose;-23.370477;-46.759478;0.24207435;0.24207435;0.24207435
NOBRECEL - SP;Paper and cellulose;-22.899835;-45.349155;0.2286378;0.2286378;0.2286378
PRIMO TEDESCO - SC;Paper and cellulose;-26.782639;-51.044326;0.10967725;0.10967725;0.10967725
PRIMO TEDESCO - RS;Paper and cellulose;-29.961783;-51.189878;0.10967725;0.10967725;0.10967725
SANTHER  -SP;Paper and cellulose;-23.533242;-46.547686;0.185;0.185;0.185
SANTHER  - MG;Paper and cellulose;-18.716729;-42.238401;0.185;0.185;0.185
SANTHER - RS;Paper and cellulose;-30.167960;-51.333678;0.185;0.185;0.185
SANTHER - SP;Paper and cellulose;-22.902531;-46.546847;0.185;0.185;0.185
SUZANO - SP;Paper and cellulose;-23.520544;-46.295746;1.120742686;1.120742686;1.120742686
SUZANO - SP;Paper and cellulose;-23.496345;-46.330388;1.120742686;1.120742686;1.120742686
SUZANO - SP;Paper and cellulose;-23.663960;-46.850741;1.120742686;1.120742686;1.120742686
SUZANO - SP;Paper and cellulose;-22.568770;-47.404516;1.120742686;1.120742686;1.120742686
SUZANO - BA;Paper and cellulose;-12.866852;-38.383371;1.120742686;1.120742686;1.120742686
SUZANO - BA;Paper and cellulose;-18.039745;-39.924039;1.120742686;1.120742686;1.120742686
SUZANO - MA;Paper and cellulose;-5.545537;-47.468471;1.120742686;1.120742686;1.120742686
CENIBRA -MG;Paper and cellulose;-19.220002;-42.482508;0.612340486;0.612340486;0.612340486
CENIBRA -MG;Paper and cellulose;-19.222677;-42.476795;0.612340486;0.612340486;0.612340486
CENIBRA - MG;Paper and cellulose;-19.320151;-42.391747;0.612340486;0.612340486;0.612340486
CENIBRA - MG;Paper and cellulose;-19.319585;-42.368663;0.612340486;0.612340486;0.612340486
CENIBRA -MG;Paper and cellulose;-19.419312;-42.406586;0.612340486;0.612340486;0.612340486
CENIBRA - MG;Paper and cellulose;-19.768797;-43.028113;0.612340486;0.612340486;0.612340486
CENIBRA - ES;Paper and cellulose;-19.831908;-40.063578;0.612340486;0.612340486;0.612340486
GRUPO ORSA - SP;Paper and cellulose;-23.508624;-46.871881;0.4056088;0.4056088;0.4056088
IGUAÇU -PR;Paper and cellulose;-25.532220;-49.203850;0.1043252;0.1043252;0.1043252
IGUAÇU -PR;Paper and cellulose;-24.509953;-49.952286;0.1043252;0.1043252;0.1043252
IGUAÇU -SC;Paper and cellulose;-27.398392;-51.238227;0.1043252;0.1043252;0.1043252
IGUAÇU -SC;Paper and cellulose;-27.168166;-50.797874;0.1043252;0.1043252;0.1043252
NORSKE SKOG PISA -PR;Paper and cellulose;-24.282425;-49.736546;0.6430896;0.6430896;0.6430896
STORA ENSO - SP;Paper and cellulose;-23.562232;-46.661033;0.304917;0.304917;0.304917
VERACEL - BA;Paper and cellulose;-16.371053;-39.588851;2.0356586;2.0356586;2.0356586
ALTA MOGIANA;Bagasse TPP;-20.567944;-47.868641;0.00009936;0.0001296;0.00011448
BARRALCOOL;Bagasse TPP;-15.033815;-57.214277;0.000039744;0.00005184;0.000045792
BATATAIS;Bagasse TPP;-20.745982;-47.569336;5.16672E-06;6.7392E-06;5.95296E-06
CAETÉ;Bagasse TPP;-9.776442;-36.086844;4.74278E-05;6.18624E-05;5.46451E-05
COLOMBO ARIRANHA;Bagasse TPP;-21.213352;-48.842033;0.000139766;0.000182304;0.000161035
CORONA;Bagasse TPP;-21.364469;-48.238975;2.38464E-05;0.000031104;2.74752E-05
ESTER;Bagasse TPP;-22.657480;-47.211152;6.14707E-05;8.01792E-05;7.0825E-05
CENTRAL ENERGÉTICA RIBEIRÃO PRETO (ANTIGA GALO BRAVO);Bagasse TPP;-21.141021;-47.878869;1.19232E-05;0.000015552;1.37376E-05
GALVANI;Bagasse TPP;-22.758781;-47.155066;1.52352E-05;0.000019872;1.75536E-05
IRACEMA;Bagasse TPP;-22.586025;-47.529168;1.85472E-05;0.000024192;2.13696E-05
VIRGOLINO DE OLIVEIRA - ITAPIRA;Bagasse TPP;-22.411839;-46.808829;7.68384E-06;1.00224E-05;8.85312E-06
JARDEST;Bagasse TPP;-21.032484;-47.775844;1.05984E-05;0.000013824;1.22112E-05
JUNQUEIRA;Bagasse TPP;-20.048841;-47.748235;9.53856E-06;1.24416E-05;1.09901E-05
MARACAÍ;Bagasse TPP;-22.575942;-50.656559;6.20271E-05;8.0905E-05;7.1466E-05
MB;Bagasse TPP;-20.729511;-48.055077;2.17267E-05;2.83392E-05;2.5033E-05
NARDINI;Bagasse TPP;-21.184680;-48.654292;7.15392E-05;0.000093312;8.24256E-05
SANTA CRUZ AB (ANTIGA OMETTO);Bagasse TPP;-21.754836;-48.078402;0.000114463;0.000149299;0.000131881
USINA DA PEDRA;Bagasse TPP;-21.241122;-47.566889;0.000046368;0.00006048;0.000053424
RAFARD;Bagasse TPP;-23.009110;-47.532166;0.00006624;0.0000864;0.00007632
UNIVALEM;Bagasse TPP;-23.009110;-47.532166;1.05984E-05;0.000013824;1.22112E-05
PUMATY;Bagasse TPP;-8.627504;-35.528606;1.06514E-05;1.38931E-05;1.22723E-05
VALE DO ROSÁRIO;Bagasse TPP;-20.740942;-48.055163;0.000128506;0.000167616;0.000148061
VIRALCOOL;Bagasse TPP;-21.049411;-48.262212;0.000026496;0.00003456;0.000030528
SÃO JOÃO;Bagasse TPP;-22.428728;-47.359755;1.58976E-05;0.000020736;1.83168E-05
SÃO JOSÉ;Bagasse TPP;-22.491557;-48.782191;0.00011235;0.000146543;0.000129446
SÃO JOSÉ;Bagasse TPP;-22.860862;-47.624307;6.35904E-06;8.2944E-06;7.32672E-06
SÃO LUIZ;Bagasse TPP;-22.026160;-47.429182;9.32659E-05;0.000121651;0.000107459
SÃO MARTINHO;Bagasse TPP;-21.320081;-48.120490;9.67104E-05;0.000126144;0.000111427
BARRA GRANDE DE LENÇÓIS;Bagasse TPP;-22.627929;-48.752271;8.33299E-05;0.000108691;9.60106E-05
LDC BIOENERGIA LEME (ANTIGA COINBRA - CRESCIUMAL);Bagasse TPP;-22.205258;-47.386937;5.24621E-05;6.84288E-05;6.04454E-05
J PILON;Bagasse TPP;-23.171224;-47.746025;5.03424E-06;6.5664E-06;5.80032E-06
SÃO FRANCISCO;Bagasse TPP;-21.108655;-48.078612;3.3385E-05;4.35456E-05;3.84653E-05
LUCÉLIA;Bagasse TPP;-21.724491;-51.021143;2.07994E-05;2.71296E-05;2.39645E-05
BORTOLO CAROLO;Bagasse TPP;-21.009087;-47.993845;1.05984E-05;0.000013824;1.22112E-05
FURLAN;Bagasse TPP;-22.763612;-47.411725;4.76928E-06;6.2208E-06;5.49504E-06
SANTA ADÉLIA;Bagasse TPP;-21.252346;-48.325677;5.56416E-05;0.000072576;6.41088E-05
RUETTE;Bagasse TPP;-21.044503;-48.720099;3.70944E-05;0.000048384;4.27392E-05
IPIRANGA FILIAL DESCALVADO;Bagasse TPP;-21.910594;-47.617150;4.00752E-06;5.2272E-06;4.61736E-06
IPIRANGA - MOCOCA;Bagasse TPP;-21.467198;-47.002057;5.56416E-06;7.2576E-06;6.41088E-06
SÃO MANOEL;Bagasse TPP;-22.742186;-48.570088;1.9607E-05;2.55744E-05;2.25907E-05
ALBERTINA;Bagasse TPP;-21.147299;-47.989209;5.6304E-06;0.000007344;6.4872E-06
SANTA ELISA - UNIDADE II;Bagasse TPP;-21.151098;-48.007881;5.2992E-06;0.000006912;6.1056E-06
PAINEIRAS;Bagasse TPP;-21.011633;-40.830280;4.23936E-06;5.5296E-06;4.88448E-06
SÃO JOÃO DA BOA VISTA;Bagasse TPP;-21.974787;-46.793732;0.000092736;0.00012096;0.000106848
UNIALCO;Bagasse TPP;-21.264410;-50.636443;4.76928E-06;6.2208E-06;5.49504E-06
SANTA CÂNDIDA;Bagasse TPP;-22.154430;-48.519573;3.84192E-05;0.000050112;4.42656E-05
IBITIÚVA BIOENERGÉTICA (ANTIGA DESTILARIA ANDRADE);Bagasse TPP;-21.051442;-48.264082;4.37184E-05;0.000057024;5.03712E-05
MANDU;Bagasse TPP;-20.324892;-48.283319;0.000119232;0.00015552;0.000137376
GUARANI - CRUZ ALTA;Bagasse TPP;-20.744737;-48.909426;8.5847E-05;0.000111974;9.89107E-05
SÃO JOSÉ DA ESTIVA;Bagasse TPP;-21.486870;-49.185911;0.000056304;0.00007344;0.000064872
PANTANAL;Bagasse TPP;-15.934350;-54.962518;0.000006624;0.00000864;0.000007632
JACIARA;Bagasse TPP;-15.976043;-54.950845;3.70944E-06;4.8384E-06;4.27392E-06
BAZAN;Bagasse TPP;-21.007754;-48.035624;1.3513E-05;1.76256E-05;1.55693E-05
SÃO DOMINGOS;Bagasse TPP;-21.102280;-48.926866;1.58976E-05;0.000020736;1.83168E-05
MOEMA;Bagasse TPP;-20.254304;-49.292440;3.17952E-05;0.000041472;3.66336E-05
DIANA;Bagasse TPP;-21.474105;-49.934966;3.80615E-06;4.96454E-06;4.38535E-06
ÁGUA BONITA;Bagasse TPP;-22.736898;-50.580984;2.25216E-05;0.000029376;2.59488E-05
DESTILARIA GUARICANGA;Bagasse TPP;-22.106087;-49.435508;2.11968E-06;2.7648E-06;2.44224E-06
DESTILARIA MALOSSO;Bagasse TPP;-21.565808;-48.814681;5.2992E-06;0.000006912;6.1056E-06
CORACI;Bagasse TPP;-22.739705;-49.732398;1.83352E-06;2.39155E-06;2.11254E-06
TROMBINI;Bagasse TPP;-27.038020;-50.909358;6.45178E-06;8.41536E-06;7.43357E-06
BENÁLCOOL;Bagasse TPP;-21.276938;-50.819852;5.56416E-06;7.2576E-06;6.41088E-06
SANTA LÚCIA;Bagasse TPP;-22.394696;-47.389969;5.82912E-06;7.6032E-06;6.71616E-06
ALCIDIA;Bagasse TPP;-22.538851;-52.190831;5.04749E-05;6.58368E-05;5.81558E-05
BELLÃO & SCHIAVON;Bagasse TPP;-21.812253;-47.235488;8.6112E-07;1.1232E-06;9.9216E-07
PARAÍSO;Bagasse TPP;-22.265142;-48.154094;1.0201E-05;1.33056E-05;1.17533E-05
BELA VISTA;Bagasse TPP;-21.028625;-48.053734;1.2983E-05;1.69344E-05;1.49587E-05
